fn,sn,x,y
0,0,0,0
0,0,0,180
0,0,320,180
0,0,320,0
1,0,0,0
1,0,0,180
1,0,320,180
1,0,320,0
2,0,0,0
2,0,0,180
2,0,320,180
2,0,320,0
3,0,16,0
3,0,3,171
3,0,3,180
3,0,320,180
3,0,320,0
4,0,71,0
4,0,69,32
4,0,62,169
4,0,62,180
4,0,320,180
4,0,320,0
5,0,0,0
5,0,0,180
5,0,56,180
5,0,63,70
5,0,63,60
5,0,51,46
5,0,45,39
5,0,45,29
5,0,47,0
5,1,176,0
5,1,176,98
5,1,177,180
5,1,320,180
5,1,320,0
6,0,119,0
6,0,118,7
6,0,117,40
6,0,117,72
6,0,69,55
6,0,53,49
6,0,44,51
6,0,0,68
6,0,0,180
6,0,320,180
6,0,320,54
6,0,303,41
6,0,299,2
6,0,298,0
7,0,0,0
7,0,0,147
7,0,5,147
7,0,7,140
7,0,18,126
7,0,22,121
7,0,39,121
7,0,52,130
7,0,52,153
7,0,43,163
7,0,43,171
7,0,51,172
7,0,52,179
7,0,53,180
7,0,320,180
7,0,320,0
8,0,0,0
8,0,0,133
8,0,1,133
8,0,2,126
8,0,7,121
8,0,15,117
8,0,20,108
8,0,27,104
8,0,35,103
8,0,62,113
8,0,69,115
8,0,98,115
8,0,104,121
8,0,117,121
8,0,115,119
8,0,104,116
8,0,107,91
8,0,119,73
8,0,134,73
8,0,146,81
8,0,146,103
8,0,139,111
8,0,139,119
8,0,141,124
8,0,148,128
8,0,155,136
8,0,161,148
8,0,164,155
8,0,165,169
8,0,217,173
8,0,317,180
8,0,320,180
8,0,320,0
8,1,57,128
8,1,51,129
8,1,34,129
8,1,26,131
8,1,19,137
8,1,6,139
8,1,0,139
8,1,0,147
8,1,6,143
8,1,12,144
8,1,21,149
8,1,33,151
8,1,41,152
8,1,73,146
8,1,85,147
8,1,91,145
8,1,91,144
8,1,84,144
8,1,68,132
8,1,63,128
8,2,0,136
8,3,19,155
8,3,15,157
8,3,18,159
8,3,31,159
8,3,27,156
8,4,32,159
8,5,98,160
8,5,81,162
8,5,81,163
8,5,105,165
8,5,105,160
8,6,0,173
8,6,0,180
8,6,70,180
8,6,70,179
8,6,6,173
9,0,0,0
9,0,0,97
9,0,7,96
9,0,31,100
9,0,41,101
9,0,57,101
9,0,78,100
9,0,86,105
9,0,99,105
9,0,121,103
9,0,122,101
9,0,115,100
9,0,115,84
9,0,117,75
9,0,125,63
9,0,127,59
9,0,140,59
9,0,149,66
9,0,151,66
9,0,153,79
9,0,153,84
9,0,145,94
9,0,145,101
9,0,147,106
9,0,155,111
9,0,162,119
9,0,169,135
9,0,169,143
9,0,311,157
9,0,320,157
9,0,320,0
9,1,122,102
9,2,37,114
9,2,23,117
9,2,6,121
9,2,2,126
9,2,17,128
9,2,67,133
9,2,81,133
9,2,90,130
9,2,88,128
9,2,83,126
9,2,68,126
9,2,42,114
9,3,10,115
9,3,8,119
9,3,11,117
9,4,0,137
9,4,0,154
9,4,124,176
9,4,125,174
9,4,119,163
9,4,113,159
9,4,111,152
9,4,100,150
9,4,54,144
9,4,45,144
9,4,42,147
9,4,38,151
9,4,26,154
9,4,29,151
9,4,36,148
9,4,36,147
9,4,20,145
9,4,21,143
9,4,30,142
9,4,30,141
9,5,168,159
9,5,170,177
9,5,172,180
9,5,320,180
9,5,320,179
